
5-grams:
('https', 'rt', 'michael', 'henry', '4ag'): 4
('michael', 'henry', '4ag', 'a', 'man'): 4
('rt', 'michael', 'henry', '4ag', 'big'): 4
('thank', 'you', 'to', 'everyone', 'who'): 4
('rt', 'michael', 'henry', '4ag', 'as'): 4
('michael', 'henry', '4ag', 'tune', 'in'): 4
('michael', 'henry', '4ag', 'there', 's'): 4
('rt', 'michael', 'henry', '4ag', 'every'): 4
('michael', 'henry', '4ag', 'the', 'crime'): 4
('henry', '4ag', 'the', 'crime', 'crisis'): 4
('rt', 'michael', 'henry', '4ag', 'to'): 4
('michael', 'henry', '4ag', 'we', 'need'): 4
('f', 'rt', 'michael', 'henry', '4ag'): 4
('michael', 'henry', '4ag', 'how', 'many'): 4
('henry', '4ag', 'michael', 'henry', '123'): 4
('rt', 'michael', 'henry', '4ag', 'congratulations'): 4
('save', 'our', 'state', 'rt', 'michael'): 4
('our', 'state', 'rt', 'michael', 'henry'): 4
('state', 'rt', 'michael', 'henry', '4ag'): 4
('michael', 'henry', '4ag', 'the', 'nypd'): 4
('day', 'gone', 'rt', 'michael', 'henry'): 4
('henry', '4ag', 'it', 'was', 'great'): 4
('rt', 'michael', 'henry', '4ag', 'do'): 4
('michael', 'henry', '4ag', 'please', 'pray'): 4
('henry', '4ag', 'please', 'pray', 'for'): 4
('gone', 'rt', 'joe', 'cal', 'nyc'): 4
('rt', 'michael', 'henry', '4ag', 'under'): 4
('gone', 'rt', 'jc', 'polanco', 'nyc'): 4
('michael', 'henry', 'for', 'ag', 'com'): 3
('the', 'power', 'of', 'the', 'people'): 3
('eastern', 'district', 'of', 'new', 'york'): 3
('suffolk', 'county', 'surrogate', 's', 'court'): 3
('cost', 'of', 'living', 'in', 'new'): 3
('of', 'living', 'in', 'new', 'york'): 3
('press', 'release', 'former', 'us', 'ambassador'): 3
('release', 'former', 'us', 'ambassador', 'to'): 3
('to', 'the', 'dominican', 'republic', 'endorses'): 3
('the', 'dominican', 'republic', 'endorses', 'michael'): 3
('dominican', 'republic', 'endorses', 'michael', 'henry'): 3
('republic', 'endorses', 'michael', 'henry', 'for'): 3
('press', 'release', 'statement', 'from', 'nys'): 3
('release', 'statement', 'from', 'nys', 'attorney'): 3
('henry', 'on', 'letitia', 'james', 'civil'): 3
('on', 'letitia', 'james', 'civil', 'suit'): 3
('letitia', 'james', 'civil', 'suit', 'against'): 3
('james', 'civil', 'suit', 'against', 'donald'): 3
('press', 'release', 'nys', 'commission', 'on'): 3
('release', 'nys', 'commission', 'on', 'lobbying'): 3
('press', 'release', 'statement', 'from', 'michael'): 3
('release', 'statement', 'from', 'michael', 'henry'): 3
('press', 'release', 'j', 'cope', 'must'): 3
('release', 'j', 'cope', 'must', 'investigate'): 3
('general', 'candidate', 'michael', 'henry', 'to'): 3
('candidate', 'michael', 'henry', 'to', 'dhs'): 3
('michael', 'henry', 'to', 'dhs', 'secretary'): 3
('henry', 'to', 'dhs', 'secretary', 'alejandro'): 3
